division,district,block,cluster,school,week,teachers_registered,baseline_assessments,baseline_average_level,tutoring_calls,endline_assessments,endline_average_level
KALABURAGI,KALBURGI,CHINCHOLI,DEGALMADI,GOVT HPS GOUDAPPA GUDI TANDA,2025-02-10/2025-02-16,1,1,3.0,1,1,2.0
KALABURAGI,KALBURGI,JEWARGI,KOLAKUR,GOVT HPS GOUNAHALLI,2025-02-10/2025-02-16,1,10,1.6,0,0,
KALABURAGI,KALBURGI,AFZALPUR,GOUR (B),GOVT HPS GOUR [B] (RMSA UPGRADED),2025-02-10/2025-02-16,1,1,1.0,0,0,
KALABURAGI,BIDAR,HUMNABAD,NIRNA,GOVT HPS GOVIND THANDA,2025-02-10/2025-02-16,1,1,3.0,0,0,
DHARWAD,VIJAYAPURA,SINDAGI,KORAHALLI,GOVT HPS GUDDALLI,2025-02-17/2025-02-23,1,0,,0,0,
DHARWAD,VIJAYAPURA,SINDAGI,KORAHALLI,GOVT HPS GUDDALLI,2025-02-24/2025-03-02,2,3,1.6666666666666667,2,0,
DHARWAD,VIJAYAPURA,MUDDEBIHAL,MADIKESHWAR,GOVT HPS GUDIHAL,2025-02-17/2025-02-23,1,0,,0,0,
DHARWAD,VIJAYAPURA,BIJAPUR RURAL,BARATAGI,GOVT HPS GUGADADDI,2025-02-03/2025-02-09,2,3,2.0,1,0,
KALABURAGI,KALBURGI,JEWARGI,IJERI,GOVT HPS GUGIHAL,2025-02-03/2025-02-09,1,3,1.0,0,0,
KALABURAGI,BIDAR,BIDAR,MALEGAON,GOVT HPS GUMMA,2025-02-03/2025-02-09,1,1,1.0,0,0,
KALABURAGI,BIDAR,BIDAR,MALEGAON,GOVT HPS GUMMA,2025-02-10/2025-02-16,2,10,1.5,40,11,3.909090909090909
DHARWAD,VIJAYAPURA,BIJAPUR RURAL,GUNADAL,GOVT HPS GUNADAL,2025-02-17/2025-02-23,2,8,1.875,1,0,
DHARWAD,VIJAYAPURA,BIJAPUR RURAL,GUNAKI,GOVT HPS GUNAKI,2025-02-03/2025-02-09,1,2,3.5,0,0,
DHARWAD,VIJAYAPURA,BIJAPUR RURAL,GUNAKI,GOVT HPS GUNAKI,2025-02-10/2025-02-16,3,3,1.3333333333333333,0,0,
KALABURAGI,BIDAR,BASAVAKALYAN,RAJOLA,GOVT HPS GUNATIRTHWADI,2025-02-03/2025-02-09,1,0,,0,0,
KALABURAGI,KALBURGI,CHITTAPUR,GUNDAGURTHI,GOVT HPS GUNDAGURTHI,2025-02-17/2025-02-23,1,1,3.0,2,0,
KALABURAGI,KALBURGI,SEDAM,DUGANOOR,GOVT HPS GUNDAHALLI B,2025-02-17/2025-02-23,1,0,,0,0,
DHARWAD,VIJAYAPURA,MUDDEBIHAL,B SALAWADAGI,GOVT HPS GUNDAKANAL,2025-02-10/2025-02-16,4,18,0.6111111111111112,51,15,3.8
DHARWAD,VIJAYAPURA,MUDDEBIHAL,B SALAWADAGI,GOVT HPS GUNDAKANAL,2025-02-24/2025-03-02,1,2,1.0,5,4,2.75
DHARWAD,VIJAYAPURA,MUDDEBIHAL,BASARAKOD,GOVT HPS GUNDAKARAJAGI,2025-02-17/2025-02-23,3,9,1.2222222222222223,20,0,
DHARWAD,VIJAYAPURA,MUDDEBIHAL,BASARAKOD,GOVT HPS GUNDAKARAJAGI,2025-02-24/2025-03-02,1,0,,3,0,
DHARWAD,VIJAYAPURA,CHADACHAN,NANDARAGI,GOVT HPS GUNDAWAN,2025-02-24/2025-03-02,3,11,0.6363636363636364,33,0,
KALABURAGI,KALBURGI,ALAND,NARONA,GOVT HPS GUNJ BABALAD,2025-02-10/2025-02-16,1,1,3.0,1,1,4.0
KALABURAGI,BIDAR,BHALKI,ALWAI MARATHI,GOVT HPS GUNJARGA,2025-02-10/2025-02-16,1,9,3.0,0,0,
DHARWAD,VIJAYAPURA,BASAVAN BAGEWADI,H HIPPARAGI,"GOVT HPS H HIPPARAGI, BADAVANE",2025-02-24/2025-03-02,2,6,1.8333333333333333,0,0,
DHARWAD,VIJAYAPURA,MUDDEBIHAL,NALATAWAD,GOVT HPS H K NALATAWAD,2025-02-17/2025-02-23,2,2,3.5,1,0,
DHARWAD,VIJAYAPURA,MUDDEBIHAL,NALATAWAD,GOVT HPS H K NALATAWAD,2025-02-24/2025-03-02,1,0,,0,0,
KALABURAGI,KALBURGI,SEDAM,HABALA ( T ),GOVT HPS HABAL (T),2025-02-03/2025-02-09,3,10,1.5,36,5,4.0
KALABURAGI,KALBURGI,SEDAM,HABALA ( T ),GOVT HPS HABAL (T),2025-02-10/2025-02-16,4,11,1.7272727272727273,38,1,4.0
KALABURAGI,KALBURGI,SEDAM,HABALA ( T ),GOVT HPS HABAL (T),2025-02-17/2025-02-23,4,2,2.0,9,4,4.0
DHARWAD,VIJAYAPURA,BIJAPUR RURAL,SHIVANAGI,GOVT HPS HADAGALI,2025-02-17/2025-02-23,4,7,0.5714285714285714,23,7,1.1428571428571428
DHARWAD,VIJAYAPURA,MUDDEBIHAL,ALUR,GOVT HPS HADAGALI,2025-02-17/2025-02-23,4,7,0.5714285714285714,23,7,1.1428571428571428
DHARWAD,VIJAYAPURA,BIJAPUR RURAL,SHIVANAGI,GOVT HPS HADAGALI,2025-02-24/2025-03-02,1,0,,22,0,
DHARWAD,VIJAYAPURA,MUDDEBIHAL,ALUR,GOVT HPS HADAGALI,2025-02-24/2025-03-02,1,0,,22,0,
DHARWAD,VIJAYAPURA,BIJAPUR RURAL,SHIVANAGI,GOVT HPS HADAGALI LT 1,2025-02-17/2025-02-23,1,0,,0,0,
DHARWAD,VIJAYAPURA,BIJAPUR RURAL,SHIVANAGI,GOVT HPS HADAGALI LT 3,2025-02-17/2025-02-23,2,21,2.4761904761904763,0,0,
DHARWAD,VIJAYAPURA,BIJAPUR RURAL,SHIVANAGI,GOVT HPS HADAGALI LT 3,2025-02-24/2025-03-02,1,15,2.1333333333333333,0,0,
KALABURAGI,KALBURGI,ALAND,YELASANGI,GOVT HPS HADALAGI (KAN),2025-02-03/2025-02-09,1,70,2.914285714285714,0,0,
DHARWAD,VIJAYAPURA,CHADACHAN,HADALASANG,GOVT HPS HADALASANG,2025-02-17/2025-02-23,1,10,2.0,0,0,
DHARWAD,VIJAYAPURA,CHADACHAN,HADALASANG,GOVT HPS HADALASANG LT 2,2025-02-03/2025-02-09,2,7,1.7142857142857142,0,0,
KALABURAGI,KALBURGI,GULBARGA SOUTH,HAGARGUNDAGI,GOVT HPS HAGARAGUNDAGI,2025-02-10/2025-02-16,1,3,0.6666666666666666,0,0,
KALABURAGI,KALBURGI,GULBARGA SOUTH,HAGARGUNDAGI,GOVT HPS HAGARAGUNDAGI,2025-02-17/2025-02-23,1,6,0.6666666666666666,3,0,
DHARWAD,VIJAYAPURA,MUDDEBIHAL,INGALAGERI,GOVT HPS HAGARGUND LT,2025-02-10/2025-02-16,1,1,0.0,4,1,4.0
DHARWAD,VIJAYAPURA,MUDDEBIHAL,INGALAGERI,GOVT HPS HAGARGUND LT,2025-02-17/2025-02-23,1,2,0.0,8,2,2.0
KALABURAGI,BIDAR,AURAD,MURKI,GOVT HPS HAKAYAL,2025-02-10/2025-02-16,1,0,,0,0,
DHARWAD,VIJAYAPURA,BIJAPUR RURAL,HALAGANI,GOVT HPS HALAGANI,2025-02-17/2025-02-23,2,5,1.6,1,1,2.0
DHARWAD,VIJAYAPURA,BIJAPUR RURAL,HALAGANI,GOVT HPS HALAGANI,2025-02-24/2025-03-02,4,6,1.3333333333333333,2,2,1.5
